                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5893,                 6.6261,                 1.9592,                0.68855,                0.02564,                0.00582,                0.00189,                 2.3191,                 6.7537,                 1.6927,               0.087013,                1.3e-05,                1.3e-05
                      2,                 2.3133,                 3.0461,                 1.6795,                0.02522,                0.40293,                0.19022,                0.08041,                 2.4592,                 4.0289,                 1.5616,               0.073027,             2.6947e-05,             2.6947e-05
                      3,                  2.154,                 2.3672,                 1.5619,                0.46815,                 0.2036,                0.27375,                0.12583,                 2.2164,                 3.7203,                 1.4961,               0.059041,             4.0838e-05,             4.0838e-05
                      4,                 2.1237,                 2.1173,                 1.5735,                0.63979,                0.35311,                0.43037,                 0.2316,                 2.1391,                 2.7602,                  1.442,               0.045055,             5.4673e-05,             5.4673e-05
                      5,                 2.0677,                 1.9358,                 1.5219,                0.64681,                0.39194,                0.48927,                0.24642,                 2.2523,                 2.2127,                 1.4968,               0.031068,             6.8454e-05,             6.8454e-05
                      6,                 2.0758,                 1.8677,                 1.5389,                0.78912,                0.49312,                0.60869,                 0.2964,                  1.891,                 1.8231,                 1.3346,               0.017082,             8.2178e-05,             8.2178e-05
                      7,                 2.0097,                 1.7838,                 1.4912,                0.73194,                0.53606,                0.59503,                  0.297,                  1.879,                 1.7581,                 1.3336,              0.0030958,             9.5848e-05,             9.5848e-05
                      8,                 1.9641,                 1.6789,                 1.4372,                0.72933,                0.62856,                0.68756,                0.30904,                 1.8515,                 1.4372,                 1.2875,             9.8614e-05,             9.8614e-05,             9.8614e-05
                      9,                 1.9025,                 1.6161,                 1.4511,                0.74973,                 0.5946,                 0.6856,                0.31858,                 1.8415,                 1.4222,                 1.2754,             9.8614e-05,             9.8614e-05,             9.8614e-05
                     10,                 1.9374,                 1.6465,                 1.4282,                0.66817,                0.66636,                0.66258,                0.33977,                 1.8653,                 1.4329,                 1.2794,             9.8416e-05,             9.8416e-05,             9.8416e-05
                     11,                 1.8788,                 1.5707,                 1.4412,                0.70818,                0.64402,                0.63827,                0.35456,                 1.7324,                 1.3845,                 1.2262,             9.8218e-05,             9.8218e-05,             9.8218e-05
